age,2019,2007
m_19_0,371576,388360
m_19_1,386072,377282
m_19_2,398693,367543
m_19_3,411883,361635
m_19_4,411576,350521
m_19_5,414890,342389
m_19_6,423939,347282
m_19_7,436175,357755
m_19_8,429626,368251
m_19_9,420942,373679
m_19_10,416804,384659
m_19_11,420435,384179
m_19_12,407426,383294
m_19_13,398281,393549
m_19_14,383486,393069
m_19_15,377844,402974
m_19_16,368405,413958
m_19_17,364437,406315
m_19_18,375939,402475
m_19_19,392588,409751
m_19_20,409863,399665
m_19_21,417910,407229
m_19_22,432740,418780
m_19_23,438189,412291
m_19_24,436369,410929
m_19_25,450326,406738
m_19_26,448552,418598
m_19_27,459046,421903
m_19_28,471462,403366
m_19_29,462714,380785
m_19_30,453849,376414
m_19_31,454817,384103
m_19_32,439802,391783
m_19_33,447789,401117
m_19_34,446085,421812
m_19_35,432076,440596
m_19_36,434413,453906
m_19_37,432853,449146
m_19_38,437060,459131
m_19_39,437482,462300
m_19_40,421790,471928
m_19_41,393363,468500
m_19_42,387840,470615
m_19_43,393401,465470
m_19_44,400472,456795
m_19_45,406788,447242
m_19_46,424886,435131
m_19_47,442944,419427
m_19_48,453979,411772
m_19_49,443759,404251
m_19_50,454492,389369
m_19_51,454552,376164
m_19_52,462402,363677
m_19_53,458869,365252
m_19_54,462400,362408
m_19_55,457484,354194
m_19_56,447432,357127
m_19_57,437699,364561
m_19_58,421755,376069
m_19_59,403136,398006
m_19_60,393200,426430
m_19_61,384208,336514
m_19_62,368698,326880
m_19_63,354603,324799
m_19_64,339429,305698
m_19_65,337661,274425
m_19_66,331841,251313
m_19_67,319092,260829
m_19_68,319137,258795
m_19_69,322371,253399
m_19_70,329074,242681
m_19_71,342943,232084
m_19_72,368417,221912
m_19_73,280126,207006
m_19_74,267180,199181
m_19_75,262739,194541
m_19_76,238533,185920
m_19_77,208283,173615
m_19_78,182487,160188
m_19_79,184443,146707
m_19_80,177139,137165
m_19_81,166187,126280
m_19_82,150863,113085
m_19_83,136325,101186
m_19_84,122828,89784
m_19_85,106041,82152
m_19_86,93770,72257
m_19_87,83112,60689
m_19_88,71405,42938
m_19_89,58821,27439
m_19_90,193416,104521
m_19_al,32978229,30027883
f_19_0,351305,369069
f_19_1,366482,360359
f_19_2,378616,350206
f_19_3,390451,344051
f_19_4,390609,332488
f_19_5,394262,326348
f_19_6,403210,332726
f_19_7,415884,339895
f_19_8,409054,351747
f_19_9,401870,357534
f_19_10,396970,367321
f_19_11,399834,363939
f_19_12,385979,365003
f_19_13,379568,374466
f_19_14,365083,376285
f_19_15,359011,389470
f_19_16,348651,393875
f_19_17,344045,384607
f_19_18,357128,387988
f_19_19,368920,402172
f_19_20,387384,398244
f_19_21,393313,404500
f_19_22,409461,412743
f_19_23,412222,407016
f_19_24,415629,413432
f_19_25,429080,415764
f_19_26,434064,422475
f_19_27,452160,423381
f_19_28,457517,406557
f_19_29,449328,382047
f_19_30,449593,375747
f_19_31,457183,387001
f_19_32,449885,397614
f_19_33,448939,405607
f_19_34,449190,426441
f_19_35,440577,448115
f_19_36,444657,463389
f_19_37,444596,454238
f_19_38,446110,467823
f_19_39,445843,469966
f_19_40,426330,477034
f_19_41,397316,478897
f_19_42,390974,482874
f_19_43,400508,478760
f_19_44,407545,468974
f_19_45,415287,457306
f_19_46,433425,443321
f_19_47,452121,426133
f_19_48,470086,417781
f_19_49,458847,409863
f_19_50,470262,395878
f_19_51,470114,382661
f_19_52,473887,370609
f_19_53,475466,372404
f_19_54,478571,368507
f_19_55,473299,362406
f_19_56,462252,365815
f_19_57,450432,375745
f_19_58,435024,386097
f_19_59,417395,409779
f_19_60,408020,439135
f_19_61,398521,348032
f_19_62,383517,339861
f_19_63,369044,337348
f_19_64,355945,321416
f_19_65,356713,291390
f_19_66,350470,269342
f_19_67,340599,280462
f_19_68,342114,280576
f_19_69,348201,275893
f_19_70,354458,267844
f_19_71,371986,259904
f_19_72,399606,251486
f_19_73,308119,240251
f_19_74,296958,235911
f_19_75,293434,235686
f_19_76,272986,232929
f_19_77,243226,225578
f_19_78,217590,213018
f_19_79,221575,200776
f_19_80,216466,193497
f_19_81,206425,185871
f_19_82,193241,175039
f_19_83,179876,165392
f_19_84,165978,155709
f_19_85,149501,149417
f_19_86,136897,143181
f_19_87,126965,125056
f_19_88,114758,90267
f_19_89,100820,65176
f_19_90,411765,313256
f_19_al,33818578,31291192